contrast,mutation_class,ratio,SE,df,null,z.ratio,p_value_bonferroni,significant,sig_label
hinfluenzae / nmeningitidis,T->A,4.422512829287016,1.3666760095778734,Inf,1,4.810932049315833,1.367075603736213e-4,TRUE,***
hinfluenzae / paeruginosa,T->A,0.4806292167459194,0.12993972473923554,Inf,1,-2.7100057466272776,0.6122665858540773,FALSE,ns
hinfluenzae / sagalactiae,T->A,0.361095411614035,0.09793743788068608,Inf,1,-3.75562715568145,0.015734622980806703,TRUE,*
hinfluenzae / saureus,T->A,0.19123819567109215,0.051430633014347436,Inf,1,-6.1510621095187155,7.00388496321682e-8,TRUE,***
hinfluenzae / sepidermidis,T->A,0.15449835515865382,0.04152264805730294,Inf,1,-6.9489011228546484,3.3500962727148625e-10,TRUE,***
hinfluenzae / spneumoniae,T->A,0.861297340418499,0.2374983759497344,Inf,1,-0.5414985884412071,1,FALSE,ns
kpneumoniae / lmonocytogenesA,T->A,3.212335788869672,0.8320843117356351,Inf,1,4.505301273585843,6.031374510500117e-4,TRUE,***
kpneumoniae / mtuberculosis,T->A,4.971257712033145,1.2988416509952716,Inf,1,6.137985420175021,7.605282286341041e-8,TRUE,***
kpneumoniae / nmeningitidis,T->A,48.96915458669329,14.670248149969948,Inf,1,12.988758755215606,1.2895304923756863e-36,TRUE,***
kpneumoniae / paeruginosa,T->A,5.321862778520566,1.3809763243559157,Inf,1,6.4426989124254375,1.0680432371168103e-8,TRUE,***
kpneumoniae / sagalactiae,T->A,3.9983009014185384,1.041150658467949,Inf,1,5.322114730434393,9.333674047327824e-6,TRUE,***
kpneumoniae / saureus,T->A,2.117523030048004,0.5463433141624724,Inf,1,2.9078151217200903,0.33120673023334946,FALSE,ns
kpneumoniae / sepidermidis,T->A,1.7107138247406002,0.4410660255811174,Inf,1,2.0824560185080303,1,FALSE,ns
kpneumoniae / spneumoniae,T->A,9.536886434507174,2.5283094381761426,Inf,1,8.5065822412815,1.6301335161286954e-15,TRUE,***
